symboling,country,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,fueltype_gas,aspiration_turbo,doornumber_two
4,7,4,2,93.1,159.1,64.2,54.1,1905,6,91,5,3.03,3.15,9.0,68,5000,31,38,1,0,1
2,7,3,3,104.5,187.8,66.5,54.1,3151,5,161,7,3.27,3.35,9.2,156,5200,19,24,1,0,0
5,6,5,2,99.8,177.3,66.3,53.1,2507,4,136,7,3.19,3.4,8.5,110,5500,19,25,1,0,1
5,4,4,2,88.4,141.1,60.3,53.2,1488,1,61,5,2.91,3.03,9.5,48,5100,47,53,1,0,1
5,6,5,2,97.3,171.7,65.5,55.7,2300,6,109,7,3.19,3.4,10.0,100,5500,26,32,1,0,0
5,7,1,3,98.4,176.2,65.6,52.0,2679,6,146,7,3.62,3.5,9.3,116,4800,24,30,1,0,1
5,7,4,2,93.7,157.3,64.4,50.8,1918,6,92,5,2.97,3.23,9.4,68,5500,37,41,1,0,1
3,7,3,1,95.7,169.7,63.6,59.1,2290,6,92,5,3.05,3.03,9.0,62,4800,27,32,1,0,0
6,7,4,3,91.3,170.7,67.9,49.7,3071,5,181,7,3.43,3.27,9.0,160,5200,19,25,1,0,1
4,7,4,2,93.7,150.0,64.0,52.6,1940,6,92,3,2.91,3.41,9.2,76,6000,30,34,1,0,1
3,6,5,3,101.2,176.8,64.8,54.3,2710,5,164,7,3.31,3.19,9.0,121,4250,21,28,1,0,1
4,6,4,3,98.4,175.7,72.3,50.5,3366,3,203,7,3.94,3.11,10.0,288,5750,17,28,1,0,1
6,7,4,3,95.3,169.0,65.7,49.6,2380,2,70,2,3.33,3.255,9.4,101,6000,17,23,1,0,1
3,7,5,3,104.9,175.0,66.1,54.4,2700,6,134,6,3.43,3.64,22.0,72,4200,31,39,0,0,0
3,7,5,2,94.5,155.9,63.6,52.0,1909,6,90,5,3.03,3.11,9.6,70,5400,38,43,1,0,0
5,7,4,3,98.4,176.2,65.6,52.0,2551,6,146,7,3.62,3.5,9.3,116,4800,24,30,1,0,1
3,3,3,2,96.1,181.5,66.5,55.2,2579,6,132,7,3.46,3.9,8.7,90,5100,23,31,1,0,0
