symboling,country,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,fueltype_gas,aspiration_turbo,doornumber_two,rank
3,7,5,2,96.5,175.4,62.5,54.1,2372,6,110,3,3.15,3.58,9.0,86,5800,27,33,1,0,0,73.0
3,7,5,2,98.8,177.8,66.5,55.5,2410,6,122,5,3.39,3.39,8.6,84,4800,26,32,1,0,0,50.0
6,7,4,3,95.3,169.0,65.7,49.6,2380,2,70,2,3.33,3.255,9.4,101,6000,17,23,1,0,1,80.0
3,7,5,2,100.4,181.7,66.5,55.1,3095,5,181,7,3.43,3.27,9.0,152,5200,17,22,1,0,0,94.5
4,7,5,2,96.3,172.4,65.4,51.6,2405,6,122,5,3.35,3.46,8.5,88,5000,25,32,1,0,0,45.0
4,4,4,2,94.5,155.9,63.6,52.0,1874,6,90,5,3.03,3.11,9.6,70,5400,38,43,1,0,1,9.0
3,7,3,1,95.7,169.7,63.6,59.1,3110,6,92,5,3.05,3.03,9.0,62,4800,27,32,1,0,0,53.0
4,7,3,2,94.5,170.2,63.8,53.5,2037,6,97,5,3.15,3.29,9.4,69,5200,31,37,1,0,0,43.0
4,7,5,2,93.1,166.8,64.2,54.1,1950,6,91,5,3.08,3.15,9.0,68,5000,31,38,1,0,0,29.0
5,6,5,2,97.3,171.7,65.5,55.7,2264,6,97,6,3.01,3.4,23.0,52,4800,37,46,0,0,0,42.0
4,7,4,2,93.1,159.1,64.2,54.1,1900,6,91,5,3.03,3.15,9.0,68,5000,31,38,1,0,1,6.0
5,7,4,2,93.7,157.9,63.6,53.7,2120,6,108,5,3.62,2.64,8.7,73,4400,26,31,1,0,1,21.0
3,7,5,2,97.2,172.0,65.4,52.5,2145,6,108,5,3.62,2.64,9.5,82,4800,32,37,1,0,0,22.0
3,3,5,3,107.9,186.7,68.4,56.7,3252,6,152,6,3.7,3.52,21.0,95,4150,28,33,0,1,0,112.0
4,7,5,2,94.5,165.3,63.8,54.5,1971,6,97,5,3.15,3.29,9.4,69,5200,31,37,1,0,0,31.0
3,3,5,3,107.9,186.7,68.4,56.7,3020,6,120,7,3.46,3.19,8.4,97,5000,19,24,1,0,0,82.0
3,7,3,2,97.0,173.5,65.4,53.0,2290,6,108,5,3.62,2.64,9.0,82,4800,28,32,1,0,0,30.0
3,3,3,3,114.2,198.9,68.4,58.7,3430,6,152,6,3.7,3.52,21.0,95,4150,25,25,0,1,0,98.0
